CHD,0.005241,0.166606
CHRW,0.009782,0.641283
CHTR,0.075699,3.428324
CI,0.021823,0.724831
CINF,0.006807,0.388273
CL,0.004235,0.233457
CLX,0.007811,0.473006
CMA,0.004066,0.500229
CMCSA,0.002345,0.165606
CME,0.023188,1.277419
CMG,0.244010,7.652235
CMI,0.013056,0.635397
CMS,0.001919,0.255687
CNC,0.010663,0.398575
CNP,0.000904,0.164757
COF,0.009121,1.005085
COO,0.020474,1.025279
COP,0.007238,0.457099
COST,0.035864,0.991702
CPB,0.002980,0.263020
CPRT,0.005943,0.151481
CPT,0.008890,0.628955
CRL,0.022857,1.214753
CRM,0.019463,1.206262
CSCO,0.004134,0.353497
CSGP,0.009079,0.285359
CSX,0.002103,0.082102
CTAS,0.032133,0.811663
CTLT,0.008763,0.932405
CTRA,0.001956,0.193244
CTSH,0.006594,0.429847
CTVA,0.025897,0.618237
CVS,0.005473,0.315309
CVX,0.007648,0.466786
CZR,0.016045,0.973133
D,0.003639,0.308347
DAL,0.002220,0.535605
DD,0.003445,0.511010
DE,0.023542,0.688472
DFS,0.013745,0.783671
DG,0.046197,1.111352
DGX,0.015408,0.649648
DHI,0.007682,0.402181
DHR,0.017228,0.417175
DIS,0.004250,0.341313
DISH,0.001397,0.559777
DLR,0.014971,0.986521
DLTR,0.014137,0.553426
DOV,0.009040,0.400208
DOW,0.001290,0.889108
DPZ,0.051787,1.711936
DRI,0.013811,0.641504
DTE,0.004250,0.301181
DUK,0.006193,0.442157
DVA,0.007166,0.482710
DVN,0.004126,0.590012
DXC,0.001749,0.321031
DXCM,0.018076,0.538267
EA,0.010313,0.658781
EBAY,0.004848,0.332751
ECL,0.008257,0.435565
ED,0.003971,0.265714
EFX,0.013208,0.576943
EIX,0.003400,0.301161
EL,0.024225,0.901623
ELV,0.064671,1.780672
EMN,0.006182,0.621372
EMR,0.005121,0.339367
ENPH,0.081496,1.581770
EOG,0.010308,0.681555
EPAM,0.088468,3.027729
EQIX,0.035177,3.602735
EQR,0.004652,0.501306
EQT,0.002336,0.226115
ES,0.003873,0.266934
ESS,0.019569,1.438010
ETN,0.008743,0.354039
ETR,0.005281,0.457728
ETSY,0.036312,2.083710
EVRG,0.002759,0.236485
EW,0.008990,0.353878
EXC,0.001907,0.197051
EXPD,0.008043,0.372372
EXPE,0.007295,1.370317
EXR,0.021685,0.714280
F,0.000619,0.146367
FANG,0.031992,1.713784
FAST,0.003882,0.168066
FBHS,0.012304,0.764327
FCX,0.002696,0.472110
FDS,0.046825,1.318530
FDX,0.010783,0.927851
FE,0.001861,0.425025
FFIV,0.017122,1.345615
FIS,0.006258,0.697084
FISV,0.007657,0.287344
FITB,0.002075,0.294583
FLT,0.037428,2.181454
FMC,0.008105,0.351223
FOX,-0.006681,0.502648
FOXA,-0.004351,0.540517
FRC,0.021890,1.092951
FRT,0.005804,0.524908
FTNT,0.011114,0.299703
FTV,0.011518,0.698114
GD,0.011140,0.448726
GE,0.003454,1.212020
GEN,0.001823,0.214777
GILD,0.007810,0.397525
GIS,0.005503,0.226838
GL,0.007394,0.303296
GLW,0.002128,0.306725
GM,0.001039,0.526776
GNRC,0.018336,1.850520
GOOG,0.013954,0.474089
GOOGL,0.013919,0.478405
GPC,0.011137,0.450111
GPN,0.011961,0.774722
GRMN,0.010803,0.734383
GS,0.034591,2.366481
GWW,0.031903,1.072938
HAL,0.001791,0.335972
HAS,0.003880,0.396260
HBAN,0.000793,0.158086
HCA,0.049367,1.421709
HD,0.022107,0.703912
HES,0.008289,0.638369
HIG,0.005163,0.690501
HII,0.045392,1.818307
HLT,0.028586,1.120172
HOLX,0.006129,0.283266
HON,0.009283,0.437428
HPE,0.002539,0.202745
HPQ,0.001291,0.135252
HRL,0.002972,0.117655
HSIC,0.007960,0.358571
HST,0.000945,0.232270
HSY,0.015085,0.441419
HUM,0.034321,1.138440
HWM,0.009086,0.437057
IBM,0.006437,0.659341
ICE,0.015800,0.630797
IDXX,0.037781,1.176553
IEX,0.019528,0.565903
IFF,0.005704,0.514928
ILMN,0.023391,2.051530
INCY,0.007623,0.792942
INTC,0.001820,0.328492
INTU,0.039174,1.349850
INVH,0.005628,0.322674
IP,0.001295,0.330419
IPG,0.002094,0.210151
IQV,0.049840,1.543926
IR,0.016869,0.594918
IRM,0.005360,0.299773
ISRG,0.034049,1.093478
IT,0.032709,0.845382
ITW,0.012357,0.469542
IVZ,0.001285,0.385138
J,0.007826,0.434538
JBHT,0.012807,0.491239
JCI,0.004638,0.569047
JKHY,0.013497,0.448854
JNJ,0.008041,0.319096
JNPR,0.001942,0.795283
JPM,0.008266,0.574977
K,0.003949,0.310453
KDP,0.002276,0.462654
KEY,0.000872,0.249886
KEYS,0.052739,1.159099
KHC,-0.012142,0.563376
KIM,0.001543,0.237804
KLAC,0.026475,1.045616
KMB,0.008725,0.524722
KMI,-0.002970,0.291319
KMX,0.005996,0.606062
KO,0.002863,0.157026
KR,0.002000,0.116026
L,0.003592,0.249298
LDOS,0.010535,0.671138
LEN,0.005726,0.431187
LH,0.016940,0.943485
LHX,0.013802,0.594467
LIN,0.030039,0.969999
LKQ,0.007487,0.296205
LLY,0.019213,0.586853
LMT,0.028561,0.928849
LNC,0.001496,0.501051
LNT,0.002825,0.159387
LOW,0.013500,0.438174
LRCX,0.033592,1.494869
LUMN,0.000307,0.253997
LUV,0.002395,0.237319
LVS,0.000321,1.004779
LW,0.025094,0.867095
LYB,0.013469,1.143950
LYV,0.010211,0.582373
MA,0.058311,1.652677
MAA,0.013655,0.678648
MAR,0.016204,0.794081
MAS,0.003140,0.277621
MCD,0.013292,0.401806
MCHP,0.007097,0.376325
MCK,0.034560,1.144911
MCO,0.028561,1.004336
MDLZ,0.004629,0.361518
MDT,0.004403,0.357313
MET,0.007170,0.576855
META,0.021217,2.327692
MGM,0.002745,0.364176
MHK,0.008591,1.198546
MKC,0.004713,0.171374
MKTX,0.041130,2.012998
MLM,0.032691,1.636169
MMC,0.009373,0.344432
MMM,0.005532,0.504148
MNST,0.007418,0.216586
MO,0.002094,0.252876
MOH,0.047208,1.194869
MOS,0.002789,0.610262
MPC,0.022075,0.839998
MPWR,0.059363,2.018689
MRNA,0.121977,4.535440
